Date,HiF,HiC,LoF,LoC,Forecast
7/12/2013,87,31,63,17,Sunny
7/13/2013,87,31,67,19,Partly Cloudy
7/13/2013,87,31,67,19,Mostly Sunny
7/14/2013,88,31,72,22,Isolated Thunderstorms
7/14/2013,88,31,72,22,Isolated Thunderstorms
7/15/2013,89,32,72,22,Isolated Thunderstorms
7/15/2013,89,32,72,22,Isolated Thunderstorms
7/16/2013,93,34,72,22,Mostly Sunny
7/17/2013,96,36,74,23,Mostly Sunny
7/18/2013,93,34,74,23,Partly Cloudy
7/19/2013,93,34,74,23,Isolated Thunderstorms
7/19/2013,93,34,74,23,Isolated Thunderstorms
7/20/2013,92,33,73,23,Isolated Thunderstorms
7/20/2013,92,33,73,23,Isolated Thunderstorms
7/21/2013,91,33,73,23,Scattered Thunderstorms
7/21/2013,91,33,73,23,Scattered Thunderstorms
7/22/2013,88,31,74,23,Scattered Thunderstorms
7/22/2013,88,31,74,23,Scattered Thunderstorms
7/23/2013,92,33,73,23,Scattered Thunderstorms
7/23/2013,92,33,73,23,Scattered Thunderstorms
7/24/2013,85,29,64,18,Scattered Thunderstorms
7/24/2013,85,29,64,18,Scattered Thunderstorms
7/25/2013,86,30,63,17,Mostly Sunny
7/26/2013,87,31,67,19,Mostly Cloudy
7/27/2013,84,29,60,16,Isolated Thunderstorms
7/27/2013,84,29,60,16,Isolated Thunderstorms
7/28/2013,84,29,64,18,Partly Cloudy
7/29/2013,90,32,71,22,Partly Cloudy
7/30/2013,89,32,73,23,Scattered Thunderstorms
7/30/2013,89,32,73,23,Scattered Thunderstorms
7/31/2013,91,33,71,22,AM Thunderstorms
7/31/2013,91,33,71,22,AM Thunderstorms
8/1/2013,91,33,69,21,Sunny
8/2/2013,92,33,72,22,Mostly Sunny
8/2/2013,91,33,71,22,Partly Cloudy
8/3/2013,91,33,73,23,Isolated Thunderstorms
8/3/2013,91,33,73,23,Isolated Thunderstorms
8/4/2013,88,31,69,21,Partly Cloudy
8/5/2013,86,30,72,22,Scattered Thunderstorms
8/5/2013,86,30,72,22,Scattered Thunderstorms
8/6/2013,93,34,76,24,Scattered Thunderstorms
8/6/2013,93,34,76,24,Scattered Thunderstorms
8/7/2013,96,36,75,24,Isolated Thunderstorms
8/7/2013,96,36,75,24,Isolated Thunderstorms
8/8/2013,93,34,75,24,Isolated Thunderstorms
8/8/2013,93,34,75,24,Isolated Thunderstorms
8/9/2013,91,33,73,23,Scattered Thunderstorms
8/9/2013,91,33,73,23,Scattered Thunderstorms
8/10/2013,86,30,71,22,Scattered Thunderstorms
8/10/2013,86,30,71,22,Scattered Thunderstorms
8/11/2013,86,30,72,22,Scattered Thunderstorms
8/11/2013,86,30,72,22,Scattered Thunderstorms
8/12/2013,86,30,72,22,Scattered Thunderstorms
8/12/2013,86,30,72,22,Scattered Thunderstorms
8/13/2013,84,29,66,19,Scattered Thunderstorms
8/13/2013,84,29,66,19,Scattered Thunderstorms
8/14/2013,80,27,56,13,Partly Cloudy
8/14/2013,79,26,56,13,Mostly Sunny
8/15/2013,79,26,60,16,Sunny
8/16/2013,81,27,64,18,Partly Cloudy
8/17/2013,81,27,64,18,Isolated Thunderstorms
8/17/2013,81,27,64,18,Isolated Thunderstorms
8/18/2013,83,28,66,19,Isolated Thunderstorms
8/18/2013,83,28,66,19,Isolated Thunderstorms
8/19/2013,86,30,67,19,Mostly Sunny
8/20/2013,87,31,68,20,Mostly Sunny
8/21/2013,89,32,70,21,Mostly Sunny
8/22/2013,91,33,69,21,Mostly Sunny
8/23/2013,91,33,69,21,Partly Cloudy
8/23/2013,91,33,70,21,Mostly Sunny
8/24/2013,91,33,69,21,Mostly Sunny
8/25/2013,90,32,69,21,Mostly Sunny
8/26/2013,90,32,67,19,Partly Cloudy
8/26/2013,90,32,67,19,Mostly Sunny
8/27/2013,91,33,69,21,Partly Cloudy
8/28/2013,94,34,70,21,Mostly Sunny